order_id,item_id,product_id,quantity,list_price,discount
1.0,1.0,20.0,1.0,599.99,0.2
1.0,2.0,,2.0,1799.99,0.07
1.0,3.0,10.0,2.0,1549.0,0.05
1.0,4.0,16.0,2.0,599.99,0.05
1.0,5.0,4.0,1.0,2899.99,0.2
2.0,1.0,20.0,1.0,599.99,0.07
2.0,2.0,16.0,2.0,599.99,0.05
3.0,1.0,3.0,1.0,999.99,0.05
3.0,2.0,20.0,1.0,599.99,0.05
4.0,1.0,2.0,2.0,749.99,0.1
5.0,1.0,10.0,2.0,1549.0,0.05
5.0,2.0,17.0,1.0,429.0,0.07
5.0,3.0,26.0,1.0,599.99,0.07
6.0,1.0,18.0,1.0,449.0,0.07
6.0,2.0,12.0,2.0,549.99,0.05
6.0,3.0,20.0,1.0,599.99,0.1
6.0,4.0,3.0,2.0,999.99,0.07
6.0,5.0,9.0,2.0,2999.99,0.07
7.0,1.0,15.0,1.0,529.99,0.07
7.0,2.0,3.0,1.0,999.99,0.1
7.0,3.0,17.0,2.0,429.0,0.1
8.0,1.0,22.0,1.0,269.99,0.05
8.0,2.0,20.0,2.0,599.99,0.07
9.0,1.0,7.0,2.0,3999.99,0.1
10.0,1.0,14.0,1.0,269.99,0.1
11.0,1.0,8.0,1.0,1799.99,0.05
11.0,2.0,22.0,2.0,269.99,0.1
11.0,3.0,16.0,2.0,599.99,0.2
12.0,1.0,4.0,2.0,2899.99,0.1
12.0,2.0,11.0,1.0,1680.99,0.05
13.0,1.0,13.0,1.0,269.99,0.1
13.0,2.0,17.0,2.0,429.0,0.05
13.0,3.0,20.0,2.0,599.99,0.1
13.0,4.0,16.0,2.0,599.99,0.05
14.0,1.0,6.0,1.0,469.99,0.07
15.0,1.0,12.0,2.0,549.99,0.07
15.0,2.0,8.0,1.0,1799.99,0.07
15.0,3.0,18.0,2.0,449.0,0.05
15.0,4.0,23.0,2.0,299.99,0.2
16.0,1.0,8.0,1.0,1799.99,0.2
16.0,2.0,21.0,1.0,269.99,0.05
16.0,3.0,13.0,2.0,269.99,0.07
16.0,4.0,14.0,1.0,269.99,0.07
17.0,1.0,8.0,1.0,1799.99,0.07
17.0,2.0,23.0,1.0,299.99,0.1
17.0,3.0,5.0,1.0,1320.99,0.1
17.0,4.0,20.0,2.0,599.99,0.2
18.0,1.0,2.0,2.0,749.99,0.2
18.0,2.0,22.0,1.0,269.99,0.05
18.0,3.0,7.0,1.0,3999.99,0.1
18.0,4.0,25.0,2.0,499.99,0.05
18.0,5.0,9.0,2.0,2999.99,0.1
19.0,1.0,10.0,1.0,1549.0,0.07
19.0,2.0,9.0,2.0,2999.99,0.2
20.0,1.0,9.0,1.0,2999.99,0.07
20.0,2.0,10.0,2.0,1549.0,0.07
21.0,1.0,14.0,1.0,269.99,0.05
21.0,2.0,17.0,1.0,429.0,0.1
21.0,3.0,10.0,1.0,1549.0,0.07
22.0,1.0,15.0,2.0,529.99,0.2
22.0,2.0,22.0,1.0,269.99,0.05
23.0,1.0,4.0,2.0,2899.99,0.05
23.0,2.0,23.0,2.0,299.99,0.1
23.0,3.0,13.0,1.0,269.99,0.2
24.0,1.0,3.0,2.0,999.99,0.1
24.0,2.0,18.0,2.0,449.0,0.07
25.0,1.0,23.0,2.0,299.99,0.2
25.0,2.0,10.0,2.0,1549.0,0.2
25.0,3.0,22.0,1.0,269.99,0.2
25.0,4.0,14.0,1.0,269.99,0.2
25.0,5.0,21.0,1.0,269.99,0.1
26.0,1.0,7.0,1.0,3999.99,0.05
26.0,2.0,2.0,1.0,749.99,0.2
26.0,3.0,12.0,1.0,549.99,0.2
26.0,4.0,21.0,2.0,269.99,0.07
27.0,1.0,5.0,1.0,1320.99,0.2
27.0,2.0,19.0,1.0,449.0,0.2
27.0,3.0,26.0,2.0,599.99,0.07
27.0,4.0,8.0,1.0,1799.99,0.07
28.0,1.0,5.0,1.0,1320.99,0.05
28.0,2.0,7.0,2.0,3999.99,0.2
28.0,3.0,14.0,2.0,269.99,0.1
28.0,4.0,6.0,1.0,469.99,0.05
29.0,1.0,24.0,2.0,549.99,0.05
29.0,2.0,6.0,1.0,469.99,0.2
29.0,3.0,21.0,2.0,269.99,0.1
29.0,4.0,8.0,1.0,1799.99,0.2
29.0,5.0,14.0,2.0,269.99,0.05
30.0,1.0,26.0,1.0,599.99,0.05
30.0,2.0,17.0,1.0,429.0,0.07
30.0,3.0,19.0,1.0,449.0,0.1
30.0,4.0,4.0,1.0,2899.99,0.1
30.0,5.0,7.0,2.0,3999.99,0.1
31.0,1.0,11.0,2.0,1680.99,0.05
31.0,2.0,9.0,2.0,2999.99,0.2
32.0,1.0,8.0,2.0,1799.99,0.07
32.0,2.0,12.0,2.0,549.99,0.07
32.0,3.0,25.0,2.0,499.99,0.1
33.0,1.0,23.0,2.0,299.99,0.07
33.0,2.0,7.0,1.0,3999.99,0.1
34.0,1.0,8.0,2.0,1799.99,0.07
34.0,2.0,10.0,2.0,1549.0,0.1
34.0,3.0,17.0,2.0,429.0,0.2
35.0,1.0,18.0,1.0,449.0,0.05
35.0,2.0,20.0,2.0,599.99,0.05
35.0,3.0,5.0,1.0,1320.99,0.2
35.0,4.0,21.0,2.0,269.99,0.07
35.0,5.0,22.0,1.0,269.99,0.07
36.0,1.0,9.0,1.0,2999.99,0.07
36.0,2.0,5.0,1.0,1320.99,0.05
36.0,3.0,3.0,2.0,999.99,0.2
37.0,1.0,16.0,2.0,599.99,0.05
38.0,1.0,7.0,2.0,3999.99,0.05
38.0,2.0,23.0,1.0,299.99,0.07
38.0,3.0,25.0,1.0,499.99,0.2
38.0,4.0,10.0,2.0,1549.0,0.1
38.0,5.0,24.0,1.0,549.99,0.07
39.0,1.0,22.0,2.0,269.99,0.2
39.0,2.0,16.0,2.0,599.99,0.2
39.0,3.0,3.0,2.0,999.99,0.05
39.0,4.0,15.0,1.0,529.99,0.1
40.0,1.0,17.0,1.0,429.0,0.2
40.0,2.0,8.0,2.0,1799.99,0.2
41.0,1.0,5.0,1.0,1320.99,0.1
41.0,2.0,19.0,2.0,449.0,0.2
41.0,3.0,26.0,2.0,599.99,0.2
42.0,1.0,19.0,1.0,449.0,0.05
43.0,1.0,13.0,2.0,269.99,0.1
43.0,2.0,12.0,2.0,549.99,0.05
44.0,1.0,7.0,1.0,3999.99,0.1
44.0,2.0,16.0,1.0,599.99,0.05
45.0,1.0,4.0,2.0,2899.99,0.2
45.0,2.0,22.0,1.0,269.99,0.07
45.0,3.0,21.0,2.0,269.99,0.05
46.0,1.0,17.0,1.0,429.0,0.1
47.0,1.0,6.0,1.0,469.99,0.05
47.0,2.0,15.0,1.0,529.99,0.1
47.0,3.0,25.0,2.0,499.99,0.07
47.0,4.0,13.0,1.0,269.99,0.2
48.0,1.0,11.0,1.0,1680.99,0.1
48.0,2.0,4.0,1.0,2899.99,0.2
48.0,3.0,5.0,2.0,1320.99,0.1
48.0,4.0,14.0,2.0,269.99,0.07
49.0,1.0,13.0,2.0,269.99,0.07
50.0,1.0,3.0,1.0,999.99,0.05
50.0,2.0,26.0,2.0,599.99,0.07
50.0,3.0,13.0,2.0,269.99,0.2
51.0,1.0,13.0,1.0,269.99,0.05
51.0,2.0,20.0,1.0,599.99,0.05
51.0,3.0,26.0,2.0,599.99,0.2
52.0,1.0,25.0,1.0,499.99,0.07
53.0,1.0,8.0,2.0,1799.99,0.2
53.0,2.0,23.0,2.0,299.99,0.05
53.0,3.0,14.0,2.0,269.99,0.2
53.0,4.0,25.0,2.0,499.99,0.1
54.0,1.0,26.0,2.0,599.99,0.2
54.0,2.0,3.0,1.0,999.99,0.2
55.0,1.0,21.0,1.0,269.99,0.05
55.0,2.0,25.0,2.0,499.99,0.2
55.0,3.0,15.0,2.0,529.99,0.2
56.0,1.0,20.0,2.0,599.99,0.07
57.0,1.0,23.0,2.0,299.99,0.1
57.0,2.0,19.0,2.0,449.0,0.2
57.0,3.0,13.0,1.0,269.99,0.07
58.0,1.0,14.0,2.0,269.99,0.05
58.0,2.0,18.0,1.0,449.0,0.07
58.0,3.0,23.0,1.0,299.99,0.1
59.0,1.0,21.0,1.0,269.99,0.05
59.0,2.0,2.0,1.0,749.99,0.1
59.0,3.0,17.0,2.0,429.0,0.1
60.0,1.0,14.0,2.0,269.99,0.05
60.0,2.0,4.0,1.0,2899.99,0.1
60.0,3.0,15.0,1.0,529.99,0.07
60.0,4.0,22.0,1.0,269.99,0.2
61.0,1.0,25.0,1.0,499.99,0.1
61.0,2.0,15.0,2.0,529.99,0.05
61.0,3.0,5.0,2.0,1320.99,0.2
62.0,1.0,14.0,1.0,269.99,0.07
62.0,2.0,8.0,2.0,1799.99,0.1
62.0,3.0,22.0,2.0,269.99,0.1
63.0,1.0,25.0,2.0,499.99,0.1
63.0,2.0,19.0,2.0,449.0,0.05
63.0,3.0,3.0,1.0,999.99,0.1
64.0,1.0,25.0,2.0,499.99,0.1
64.0,2.0,22.0,2.0,269.99,0.2
64.0,3.0,23.0,2.0,299.99,0.2
64.0,4.0,24.0,2.0,549.99,0.1
65.0,1.0,12.0,1.0,549.99,0.1
66.0,1.0,2.0,1.0,749.99,0.2
66.0,2.0,23.0,1.0,299.99,0.07
66.0,3.0,12.0,1.0,549.99,0.07
67.0,1.0,23.0,2.0,299.99,0.2
